CityName,CityNameChinese,RegionCode,组织机构,制度体系,治理能力,治理效果,DGDI,cityclass
nanchang,南昌市,360100,5.1,4.4,28.1,13.5,51,2
huhehaote,呼和浩特市,150100,4.2,6.9,25.9,11.3,48.3,2
lanzhou,兰州市,620100,5.7,6.3,21.8,13.6,47.4,2
kunming,昆明市,530100,6.5,3.8,21.8,12.4,44.4,2
taiyuan,太原市,140100,5.6,3.8,20.7,11.5,41.5,2
lasa,拉萨市,540100,3,3.1,24.8,9.5,40.4,2
xining,西宁市,630100,3.9,3.1,21.8,11.2,40,2
wulumuqi,乌鲁木齐市,650100,1.7,4.4,22.9,8.8,37.8,2
zhuhaishi,珠海市 ,440400,8,8.8,34,14.5,65.2,1
foshanshi,佛山市 ,440600,5.7,8.8,34.1,15.5,64,1
taizhoushi,台州市 ,331000,5.9,8.1,37.9,10.7,62.6,1
beijing,北京市,110000,8,7.5,35.1,18.8,69.4,3
shanghai,上海市,310000,9,13.1,37.2,17.1,76.7,3
tianjin,天津市,120000,6,10,33.1,14.4,63.5,3
chongqing,重庆市,500000,8,9.4,28.1,13.2,58.7,3
