ProvinceName,ProvinceCode,ForcecodingProvince
北京,11,1
天津,12,1
上海,31,1
重庆,50,1
新疆,65,1
宁夏,64,1
西藏,54,1
广西,45,1
内蒙,15,1
黑龙江,23,1
吉林,22,3
辽宁,21,1
河北,13,1
甘肃,62,1
青海,63,1
四川,51,1
云南,53,1
山西,14,1
山东,37,1
陕西,61,4
河南,41,1
湖北,42,1
湖南,43,1
贵州,52,1
江苏,32,1
安徽,34,3
浙江,33,1
江西,36,1
福建,35,1
广东,44,1
海南,46,1
